https://www.youtube.com/watch?v=f84n5oFoZBc

正如我昨天所说，我换了 茎 
正如我昨天所说，我换了 茎 ,所以这是更哲学的
 需要 纠正一个整体 ,一堆你不能的上下文 
一堆你不能的上下文 ,做出正确的战术决策 
做出正确的战术决策 ,它是否意味着抽象 
它是否意味着抽象 , 你要删除驱动器库 
 你要删除驱动器库 , 从你知道它意味着什么 
 从你知道它意味着什么 , 很好 的编程 语言 
 很好 的编程 语言 ,我不 知道什么 你们 打算 
我不 知道什么 你们 打算 ,对你有所了解它是正确的 
对你有所了解它是正确的 , 这对你来说是一种更具战略意义的事情 
 这对你来说是一种更具战略意义的事情 ,不要构建编程层并说 
不要构建编程层并说 , 这种编程语言将如何处理 
 这种编程语言将如何处理 ,使用HTTP 请求 您要执行的操作 
使用HTTP 请求 您要执行的操作 ,给予标记他可以使用的东西 
给予标记他可以使用的东西 , 当他有一个战术 决定 
 当他有一个战术 决定 ,关于HTTP 请求，这是一个 
关于HTTP 请求，这是一个 , 战略性 的思考和你的 
 战略性 的思考和你的 ,背景线擅长战略
背景线擅长战略, 想想你是否想做抽象 
 想想你是否想做抽象 , 你 必须抽出时间 做这件事 
 你 必须抽出时间 做这件事 , 因为那是 你大脑 的一部分 
 因为那是 你大脑 的一部分 ,来自右边它做抽象它 
来自右边它做抽象它 , 我认为 这是正确的
 我认为 这是正确的, 你解决大多数 非平凡的问题 
 你解决大多数 非平凡的问题 ,问题好吧 你可以做好 
问题好吧 你可以做好 , 否则决定， 但如果 
 否则决定， 但如果 ,你真的想努力解决问题 
你真的想努力解决问题 , 你必须搞 另一半 
 你必须搞 另一半 , 你的头脑所以我不 只是说 
 你的头脑所以我不 只是说 , 科学美国说什么时候 
 科学美国说什么时候 ,我们正在睡觉我们正在处理 
我们正在睡觉我们正在处理 , 白天的信息是因为 
 白天的信息是因为 , 这很 明显，但 睡觉 
 这很 明显，但 睡觉 ,强化记忆，这是我的意思 
强化记忆，这是我的意思 ,重要的是要记住你是什么 
重要的是要记住你是什么 ,工作但更重要的是它是一个 
工作但更重要的是它是一个 , 我们拥有的东西是出色的分拣机
 我们拥有的东西是出色的分拣机,这整个我 说我只是主张采取 
这整个我 说我只是主张采取 ,很多输入 我 花了很多钱但是 
很多输入 我 花了很多钱但是 ,做所有这些分析 
做所有这些分析 , 空间权利的要求
 空间权利的要求,你知道看着你的所有阅读 
你知道看着你的所有阅读 ,知道竞争解决方案和撕裂
知道竞争解决方案和撕裂, 除此之外，这 是很多东西 
 除此之外，这 是很多东西 ,当你要 决定什么时候 
当你要 决定什么时候 ,当你这么做时，这很重要
当你这么做时，这很重要, 睡着了，这就是发生的事情 
 睡着了，这就是发生的事情 ,进化已经为我们解决了这个问题
进化已经为我们解决了这个问题,这就是它提出 的 解决方案 
这就是它提出 的 解决方案 , 我们不能忽视它我们必须使用 它但是 
 我们不能忽视它我们必须使用 它但是 , 最关键的是这个 
 寻找隐藏的关系和解决 
 寻找隐藏的关系和解决 , 我们正在努力 想象的问题 
 我们正在努力 想象的问题 ,有人说，我有这样的问题， 这 
有人说，我有这样的问题， 这 ,那你看了十分钟 
那你看了十分钟 , 并且 说好的我会去追求 
 并且 说好的我会去追求 ,电影和做其他事情 然后你去 
电影和做其他事情 然后你去 ,睡觉你会解决这个问题 
睡觉你会解决这个问题 ,问题你的睡眠 没有或者你关闭 ， 
问题你的睡眠 没有或者你关闭 ， ,你没想到它没有你 
你没想到它没有你 ,没想到吧 ，你没想到 
没想到吧 ，你没想到 ,关于它很难 
关于它很难 ,当你醒来它 成为 
当你醒来它 成为 , 当你这么做时，你的思想很重要
 当你这么做时，你的思想很重要,睡着了，这可以追溯到 那个 
睡着了，这可以追溯到 那个 , 喂养你的 心灵 的背景 ，你 的事 
 喂养你的 心灵 的背景 ，你 的事 ,真的要努力工作才能想到 
真的要努力工作才能想到 ,只是想着一个不打字
只是想着一个不打字, 白天的问题让它 
 白天的问题让它 , 成为 你 的议程 项目 
 成为 你 的议程 项目 , 背景线，它是如何工作的 
 背景线，它是如何工作的 , 是的，当人们在那里时 
 是的，当人们在那里时 , 和他们就像我的上帝啊我怎么 
 和他们就像我的上帝啊我怎么 ,去寻找食物，这种情况 正在 发生 
去寻找食物，这种情况 正在 发生 ,在那里，但我知道我在那里看到了帮助 
在那里，但我知道我在那里看到了帮助 , 他们 似乎有时候会在水边 
 他们 似乎有时候会在水边 , 或 什么那是 你醒来的时候 作为一个 
 或 什么那是 你醒来的时候 作为一个 ,穴居人， 说让我们去追捕 
穴居人， 说让我们去追捕 , 在水边的动物， 这 是不合逻辑的 
 在水边的动物， 这 是不合逻辑的 ,扣除它似乎是当你的 
扣除它似乎是当你的 , 前景 - 或 
 前景 - 或 , 裂解，但没有逻辑为 
 裂解，但没有逻辑为 ,必然它真的是一个过程 
必然它真的是一个过程 ,这个非常平行一种思维左右 
这个非常平行一种思维左右 ,这非常重要所以我们有一个 
这非常重要所以我们有一个 , 在 一般的问题，因为我们 的权利 
 在 一般的问题，因为我们 的权利 , 我们只是 为了这些 而被 正确 地 施展 
 我们只是 为了这些 而被 正确 地 施展 , 随着时间的推移越来越复杂
 随着时间的推移越来越复杂,而且我们知道有七加或
而且我们知道有七加或,减去两种工作记忆限制I 
减去两种工作记忆限制I ,和我们任何人一样聪明都是我们所有人 
和我们任何人一样聪明都是我们所有人 ,从相同的限制， 但苦于
从相同的限制， 但苦于, 我们所知道的 问题 
 我们所知道的 问题 ,要解决的比 那 要大得多 
要解决的比 那 要大得多 , 正常， 如果 我们 不适合， 我们该 怎么做 
 正常， 如果 我们 不适合， 我们该 怎么做 , 我们头脑中的整个事情都是一样的 
 我们头脑中的整个事情都是一样的 ,时间我们如何能够 在一个 问题 工作 
时间我们如何能够 在一个 问题 工作 ,超过九个组件就是我的意思 
超过九个组件就是我的意思 , 要 建议 的 是 ，你写的所有 
 要 建议 的 是 ，你写的所有 , 特别是你现在的位数下降了
 特别是你现在的位数下降了,写了很多 关于问题的权利 
写了很多 关于问题的权利 , 你知道问题是什么吗？ 
 你知道问题是什么吗？ , 你知道很多关于它的事实 
 你知道很多关于它的事实 , 关于它运行的地方的限制你 知道 
 关于它运行的地方的限制你 知道 ,你不知道你问过自己
你不知道你问过自己, 你把它们写下来的 那些 问题 我 
 你把它们写下来的 那些 问题 我 ,希望我做博客 你看起来有竞争力 
希望我做博客 你看起来有竞争力 , 事情并说伟大工程 在 
 事情并说伟大工程 在 ,在这里， 但那部分竞争力 
在这里， 但那部分竞争力 ,事情很糟糕
事情很糟糕, 我讨厌 我希望那 不是 你 
 我讨厌 我希望那 不是 你 , 为你的背景提供了这个庞大的议程 
 为你的背景提供了这个庞大的议程 , 线，当你试图加载它 
 线，当你试图加载它 ,你需要调查，那就是 
你需要调查，那就是 , 如果之前 写了这一切 的点
 如果之前 写了这一切 的点,你把所有的东西写下来了 
你把所有的东西写下来了 ,包括你是如何想的一些草图 
包括你是如何想的一些草图 , 你可以 去的问题， 只是跳跃 
 你可以 去的问题， 只是跳跃 , 周围看看，有点像 
 周围看看，有点像 ,你知道 你可以玩多少球 
你知道 你可以玩多少球 , 那么你 只能温柔 我能做到的 
 那么你 只能温柔 我能做到的 ,耍弄一下
耍弄一下,但如果我们看七加或 
但如果我们看七加或 ,减去两件事我们可以玩杂耍 
减去两件事我们可以玩杂耍 ,七到九个球， 但如果可以的话 
七到九个球， 但如果可以的话 , 想象一下 每个人都有一个助手 
 想象一下 每个人都有一个助手 ,偶尔可以把其中一个 拿出来 
偶尔可以把其中一个 拿出来 ,然后把你的颜色换成不同的颜色 
然后把你的颜色换成不同的颜色 ,可以玩二十个不同的球
可以玩二十个不同的球, 只要 有 颜色在 同一时间 
 只要 有 颜色在 同一时间 ,只有九个在空中和任何一个 
只有九个在空中和任何一个 , 时间点， 这就是你的意思 
 时间点， 这就是你的意思 , 做 你要 排序 的 样子 
 做 你要 排序 的 样子 , 所有 这些部分和转移 
 所有 这些部分和转移 ,七个任意形状进入你的头脑
七个任意形状进入你的头脑,在不同的时间点 
也许你会画画不使用 
也许你会画画不使用 , 你会 融化它不是一种方法论 
 你会 融化它不是一种方法论 , 所以 一遍又 一遍，但你必须 
 所以 一遍又 一遍，但你必须 , 再次离开电脑 
 再次离开电脑 , 另一个 非常重要 
 另一个 非常重要 , 这样做的重要部分是 
 这样做的重要部分是 ,去某个地方 ，没有任何 意见 
去某个地方 ，没有任何 意见 , 闭上眼睛，不去睡觉 
 闭上眼睛，不去睡觉 ,闭上眼睛，因为我们有这个
闭上眼睛，因为我们有这个,其他事情对每个人都知道什么 
其他事情对每个人都知道什么 ,它真的 很难描述但是 
它真的 很难描述但是 ,每个人都有自己的概念
每个人都有自己的概念,拥有自己的思想我写下你所看到的 
拥有自己的思想我写下你所看到的 ,当你闭上你的 眼睛 ，你开始 
当你闭上你的 眼睛 ，你开始 , 思考 的东西正是这种怪异 
 思考 的东西正是这种怪异 ,我的意思是实际上是技术上的 
我的意思是实际上是技术上的 ,视觉虽然有些人真的 
视觉虽然有些人真的 ,充满活力的视觉我知道对我来说就是我 
充满活力的视觉我知道对我来说就是我 ,不知道 我无法形容 它， 但它是 
不知道 我无法形容 它， 但它是 , 不 
 不 , 现实 但你需 要这样做 
 现实 但你需 要这样做 , 那部分对你的大脑很重要 
 那部分对你的大脑很重要 , 因为 那时你正在 转换 
 因为 那时你正在 转换 ,超出输入接收电机的种类
超出输入接收电机的种类,如果你只是看你的清单 
如果你只是看你的清单 , 你有点像我的模式 
 你有点像我的模式 , 得到输入 ，但当你坐着 
 得到输入 ，但当你坐着 , 并考虑某事 和散列 
 并考虑某事 和散列 ,在你脑海里，你没有任何东西 
在你脑海里，你没有任何东西 ,其他输入意味着你 
其他输入意味着你 , 我曾经看过这次召回 
 我曾经看过这次召回 ,那20分，让我们说它 只有 20分 
那20分，让我们说它 只有 20分 ,我看了20分以上 
我看了20分以上 ,一遍又 一遍 ，我跳了起来 
一遍又 一遍 ，我跳了起来 , 现在我把它放在他们之间 
 现在我把它放在他们之间 ,眼睛，我试图回忆起他们 
眼睛，我试图回忆起他们 ,想想他们多一点点 在我 
想想他们多一点点 在我 , 头 ，你会发现你是否已经找到了 
 头 ，你会发现你是否已经找到了 ,做了最后一步一遍又 一遍 
做了最后一步一遍又 一遍 ,你实际上 可以 坐在一个 
你实际上 可以 坐在一个 ,吊床和拉所有 不同的部分 
吊床和拉所有 不同的部分 ,一个相当大的问题 
一个相当大的问题 , 无可否认的是，一次可能只有一个 
 无可否认的是，一次可能只有一个 , 并以这种方式思考他们的事情 
 并以这种方式思考他们的事情 ,这项运动真的非常重要
这项运动真的非常重要, 我不知道为什么它只是因为它 
 我不知道为什么它只是因为它 , 绝对强迫召回这件事 
 绝对强迫召回这件事 , 为你做这些 事项议程项目 
 为你做这些 事项议程项目 ,背景线，所以我们称之为 
背景线，所以我们称之为 , 现在你已经完成了大脑的时间 
 现在你已经完成了大脑的时间 , 你必须在烤箱里烤蛋糕
 你必须在烤箱里烤蛋糕,等等它真好
等等它真好,和，以及我 想做 的事情之一 
和，以及我 想做 的事情之一 ,说是至少等到一夜之间 
说是至少等到一夜之间 ,你和你的朋友们聊得多么恶心
你和你的朋友们聊得多么恶心,关于它， 你喜欢你 只是觉得 
关于它， 你喜欢你 只是觉得 , 今天 这样的 热门 我有 这个 
 今天 这样的 热门 我有 这个 , 你 知道的 事 至少 要 睡 一个 
 你 知道的 事 至少 要 睡 一个 ,至少如果它是一个重要的夜晚
至少如果它是一个重要的夜晚,现在决定有多少人醒来
现在决定有多少人醒来, 今天早上答案很难 
 今天早上答案很难 ,问题
在工作中是一门科学科学， 不管它是什么 
在工作中是一门科学科学， 不管它是什么 ,真有种 一件不幸的 事情，如果 
真有种 一件不幸的 事情，如果 ,你不思考这个 你 
你不思考这个 你 , 想想 发生了什么我努力工作 
 想想 发生了什么我努力工作 , 我已经完成了工作时间 
 我已经完成了工作时间 , 不幸的是，如果你，如果你放松
 不幸的是，如果你，如果你放松,相信我今天说的是你 
相信我今天说的是你 , 实际做某事 
 实际做某事 ,重要的，当你睡觉 等等 
重要的，当你睡觉 等等 , 偶尔 你真的要给 
 偶尔 你真的要给 ,你的大脑有机会做那个 
你的大脑有机会做那个 , 工作的一部分
 工作的一部分,如果你总是否认它我不认为 
如果你总是否认它我不认为 ,你会 得到 最好的结果 
你会 得到 最好的结果 ,不幸的是有时候一夜之间 没有 
不幸的是有时候一夜之间 没有 , 特别是一些大问题还不够
 特别是一些大问题还不够, 找到真正 好的抽象或 
 找到真正 好的抽象或 , 找到 满足的 东西的答案 
 找到 满足的 东西的答案 ,一堆同时的约束需要一个
一堆同时的约束需要一个, 它很长一段时间，我知道 
 它很长一段时间，我知道 ,每个人都必须运送一切 
每个人都必须运送一切 , 在那种情况下，很多 我都是 
 在那种情况下，很多 我都是 , 说不适用 ，就像我说的那样 
 说不适用 ，就像我说的那样 , 在我认为这是一个巨大的机会之前 
 在我认为这是一个巨大的机会之前 , 当我 得到更长的时间 
 当我 得到更长的时间 , 考虑一个问题， 因为我知道它 
 考虑一个问题， 因为我知道它 ,我会想出一个更好的答案 但是 
我会想出一个更好的答案 但是 ,其中一种方法可以解决 这个问题 
其中一种方法可以解决 这个问题 , 不要让我受到阻碍 
 不要让我受到阻碍 , 想想 三个月 
 想想 三个月 , 因为大多数经理都不是不可思议 
 因为大多数经理都不是不可思议 , 接受那句话就是公正的 
 接受那句话就是公正的 , 在不止一件事情上工作
 在不止一件事情上工作,在一天之内好吧 尝试 上一个 
在一天之内好吧 尝试 上一个 , 每天的 事情， 但 如果在 过程中 
 每天的 事情， 但 如果在 过程中 ,你有三个项目的时间
你有三个项目的时间, 它很可能 加载一个和 
 它很可能 加载一个和 ,在这上面 工作了 三天然后找到了 
在这上面 工作了 三天然后找到了 ,你没有找到任何答案 
你没有找到任何答案 , 您的问号的项目或能 
 您的问号的项目或能 ,列举新的可能性， 让你感到亲切 
列举新的可能性， 让你感到亲切 , 卡住一点点切换到 
 卡住一点点切换到 , 另一个项目并 为少数人 做 
 另一个项目并 为少数人 做 ,你必须 宣传装载的日子
你必须 宣传装载的日子,一段时间可能需要 一段时间 
一段时间可能需要 一段时间 ,整整一天加载一些东西 
整整一天加载一些东西 ,一旦你做完了， 你就试着去做
一旦你做完了， 你就试着去做, 至少剩下的一天或三天 
 至少剩下的一天或三天 , 或更多 
 或更多 ,但是不要不要挂断电话 
但是不要不要挂断电话 , 卡住的东西只是开关不留 
 卡住的东西只是开关不留 ,卡住开关或早上起床但是 说话 
卡住开关或早上起床但是 说话 ,关于它更多 
关于它更多 ,你不断刺激通路 
你不断刺激通路 ,不说憋屈，但随后耶
不说憋屈，但随后耶,最终蛋糕出来了 
最终蛋糕出来了 , 你醒了，你有 一个好主意 
 你醒了，你有 一个好主意 ,你认为你知道答案 您 
你认为你知道答案 您 ,问题还是你有 一个 好 主意 
问题还是你有 一个 好 主意 ,不幸的是， 有时你解决方案
不幸的是， 有时你解决方案, 得到答案 不是问题 
 得到答案 不是问题 ,你正在努力工作 
你正在努力工作 , 三个项目，你就装起来 
 三个项目，你就装起来 ,项目C和你一同醒起 
项目C和你一同醒起 ,回答项目 必须 没问题 
回答项目 必须 没问题 , 对，你只需切换并采取 
 对，你只需切换并采取 , 它的优势至少可以捕获它 
 它的优势至少可以捕获它 , 正确的，如果你醒来 的答案 
 正确的，如果你醒来 的答案 ,其他一些你无法解决的事情
其他一些你无法解决的事情,那一天抓住了这个 结果 
那一天抓住了这个 结果 ,后台进程他们真的很有用 
后台进程他们真的很有用 , 最后你必须把你的伟大 
 最后你必须把你的伟大 ,想法，并弄清楚他们 是否真的 
想法，并弄清楚他们 是否真的 , 无论是分析哪个都是伟大的 
 无论是分析哪个都是伟大的 , 当然很重要但有时你 
 当然很重要但有时你 ,必须将它们写，并将它们输入 到 
必须将它们写，并将它们输入 到 ,你的电脑实际上 我们都必须这样做 
你的电脑实际上 我们都必须这样做 ,这样你最终会 得到代码 
这样你最终会 得到代码 ,这很有趣Stu有这种很棒的感觉 
这很有趣Stu有这种很棒的感觉 ,看到了我的一些设计 
看到了我的一些设计 ,床单和绝望或文件
床单和绝望或文件,东西它就像这似乎是 所有 
东西它就像这似乎是 所有 , 嘿，我们不能这样做，这 不 
 嘿，我们不能这样做，这 不 ,工作就像那个问题， 等等等等 
工作就像那个问题， 等等等等 , 这另一件事 就像一个 
 这另一件事 就像一个 ,整个它都是负面的， 但它都是 
整个它都是负面的， 但它都是 , 解决问题的挑战
 解决问题的挑战,处理它不是不 喜欢它 
处理它不是不 喜欢它 ,绝望它是肯定的， 它 说我 
绝望它是肯定的， 它 说我 ,知道我的挑战是什么 
知道我的挑战是什么 ,因此， 我可以锻炼，但你 吐了 
因此， 我可以锻炼，但你 吐了 , 现在你有这样的东西了 
 现在你有这样的东西了 ,你尝试过尝试避免使用它 
你尝试过尝试避免使用它 ,很多打字 我知道我这样做， 因为如果我 
很多打字 我知道我这样做， 因为如果我 , 我想我得到了答案和答案 
 我想我得到了答案和答案 , 很小 ，这是最有说服力的之一 
 很小 ，这是最有说服力的之一 ,属性很好 
我希望这样做
我希望这样做,整个过程就是你获得的 
整个过程就是你获得的 , 在你看到之后对它有信心
 在你看到之后对它有信心,为你工作
为你工作,所以你说你知道 我有 什么 
所以你说你知道 我有 什么 ,从来没有这样做，但我 真的有 
从来没有这样做，但我 真的有 , 想到了它和这个解决方案我 
 想到了它和这个解决方案我 , 想出了一夜 感觉真棒 ， 
 想出了一夜 感觉真棒 ， , 喔 
 喔 ,让我们去看看什么是很重要的
让我们去看看什么是很重要的,你做了， 并运行它，看到并找到 
你做了， 并运行它，看到并找到 , 关于解决方案的新事物 
 关于解决方案的新事物 ,说我 知道我有这个假设 
说我 知道我有这个假设 , 这是不正确的我认为它 会有 
 这是不正确的我认为它 会有 ,这一特性它没有 等等 
这一特性它没有 等等 , 等等 我 不赞成 
 等等 我 不赞成 ,瀑布模型，你要尝试 
瀑布模型，你要尝试 ,东西，回去那很好，但不要 
东西，回去那很好，但不要 ,依靠这种 正确的 测试驱动牙科 
依靠这种 正确的 测试驱动牙科 ,我不认为我能想出 一个 
我不认为我能想出 一个 , 更好的事情，我们不能真正做到 
 更好的事情，我们不能真正做到 ,那过去的事情是你 要 
那过去的事情是你 要 ,错了我经常 错 了 
错了我经常 错 了 , 你将会 想到的游戏的一部分
 你将会 想到的游戏的一部分, 更好的想法， 我认为这是一个 
 更好的想法， 我认为这是一个 , 最 令人兴奋的事情我认为没有 
 最 令人兴奋的事情我认为没有 , 关于我曾经想过的事情
 关于我曾经想过的事情, 事实上，我知道我会想到 
 事实上，我知道我会想到 ,更好的东西，它会吮吸 
更好的东西，它会吮吸 , 有点因为 我 
 有点因为 我 ,有时最好的意思是我还在 
有时最好的意思是我还在 , 去 它仍然工作，所以你会 
 去 它仍然工作，所以你会 , 想想 更好的想法也是事实 
 想想 更好的想法也是事实 , 改变你可以因为 两个而 改变 
 改变你可以因为 两个而 改变 ,原因合适的人，你错过了一些 
原因合适的人，你错过了一些 ,他们很早就开始了， 所以他们应该归于 你 
他们很早就开始了， 所以他们应该归于 你 ,因为你跳过它们还有什么我们做的 
因为你跳过它们还有什么我们做的 ,有变化的要求权 这 
有变化的要求权 这 , 只是你知道我们都知道这些事实 
 只是你知道我们都知道这些事实 ,当事实改变时， 不要将改变
当事实改变时， 不要将改变,深入挖掘， 看看 你的 
深入挖掘， 看看 你的 ,答案在上下文中 仍然有效 
答案在上下文中 仍然有效 ,新的要求和新的事实 和 
新的要求和新的事实 和 ,如果它没有改变你的想法而不是 
如果它没有改变你的想法而不是 ,道歉， 有时你会做 
道歉， 有时你会做 ,错误的逻辑错误或你知道
错误的逻辑错误或你知道,想你就知道你只是得到它 
想你就知道你只是得到它 , 如果我能提倡，那就 错了 
 如果我能提倡，那就 错了 , 什么 
 什么 , 尤其是不要不要害怕 
 尤其是不要不要害怕 ,害怕错，所以总结一下 
害怕错，所以总结一下 , 是 一个坡道 
 是 一个坡道 ,没有先生
我有两分钟的 问题是的 

